period,org_code,parent_org,org_name,att_type1,att_type2,att_other,att_booked_type1,att_booked_type2,att_booked_other,over4hr_type1,over4hr_type2,over4hr_other,over4hr_booked_type1,over4hr_booked_type2,over4hr_booked_other,wait_4_12hr_dta,wait_12hr_plus_dta,emerg_adm_type1,emerg_adm_type2,emerg_adm_other,emerg_adm_other2,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,a,date,total_attendances,total_over4hr,type1_4hr_pct,total_emerg_adm
MSitAE-DECEMBER-2023,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5877,0,6060,0,0,0,4106,0,262,0,0,0,627,39,1991,0,0,156,,,,,,,2023-12-01,11937,4368,30.1,2147
MSitAE-DECEMBER-2023,RC9,NHS ENGLAND EAST OF ENGLAND,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,15600,0,7740,0,0,669,6616,0,0,0,0,0,80,12,4902,0,0,2217,,,,,,,2023-12-01,23340,6616,57.6,7119
MSitAE-DECEMBER-2023,RM3,NHS ENGLAND NORTH WEST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,23991,0,7238,0,0,0,12562,0,521,0,0,0,1277,818,6939,0,418,1445,,,,,,,2023-12-01,31229,13083,47.6,8802
MSitAE-DECEMBER-2023,RN3,NHS ENGLAND SOUTH WEST,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5443,0,5394,0,0,229,2575,0,223,0,0,1,484,41,2598,0,0,1390,,,,,,,2023-12-01,10837,2798,52.7,3988
MSitAE-DECEMBER-2023,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12997,0,3336,0,0,0,6129,0,3,0,0,0,1280,305,3501,0,430,1143,,,,,,,2023-12-01,16333,6132,52.8,5074
MSitAE-DECEMBER-2023,RWW,NHS ENGLAND NORTH WEST,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6882,0,2985,194,0,83,3658,0,191,74,0,6,754,767,1854,0,0,191,,,,,,,2023-12-01,9867,3849,46.8,2045
MSitAE-DECEMBER-2023,RBL,NHS ENGLAND NORTH WEST,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7846,0,3223,150,0,261,4156,0,83,53,0,12,669,573,2230,0,0,1564,,,,,,,2023-12-01,11069,4239,47.0,3794
MSitAE-DECEMBER-2023,RNA,NHS ENGLAND MIDLANDS,THE DUDLEY GROUP NHS FOUNDATION TRUST,9289,0,4677,143,0,760,4055,0,160,25,0,0,2301,161,3653,0,0,1757,,,,,,,2023-12-01,13966,4215,56.3,5410
MSitAE-DECEMBER-2023,RNQ,NHS ENGLAND MIDLANDS,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9228,0,0,402,0,0,4610,0,0,0,0,0,1363,0,1960,0,0,177,,,,,,,2023-12-01,9228,4610,50.0,2137
MSitAE-DECEMBER-2023,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10168,0,11599,0,0,0,2736,0,8,0,0,0,96,0,5221,0,60,1256,,,,,,,2023-12-01,21767,2744,73.1,6537
